name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,clusters,centroid
Kepler-391 b,2835.0,13.177,Neptune-like,2014,10.3,Earth,0.285,Jupiter,0.082,0.020260096,0.0,Transit,0,[2568.35918367]
HATS-68 b,1970.0,12.312,Gas Giant,2018,1.29,Jupiter,1.232,Jupiter,0.05071,0.009856262,0.04,Transit,0,[2568.35918367]
Kepler-1262 b,3441.0,15.155,Super Earth,2016,3.97,Earth,1.82,Earth,0.083,0.023819301,0.0,Transit,0,[2568.35918367]
Kepler-1616 b,3712.0,13.491,Super Earth,2016,1.04,Earth,1.02,Earth,0.0761,0.018617386,0.0,Transit,0,[2568.35918367]
Kepler-1196 b,3009.0,15.009,Neptune-like,2016,5.6,Earth,2.23,Earth,0.3179,0.18124571,0.0,Transit,0,[2568.35918367]
Kepler-511 b,2127.0,12.711,Neptune-like,2016,33.1,Earth,0.567,Jupiter,0.8589,0.8120466,0.0,Transit,0,[2568.35918367]
Kepler-1315 b,1569.0,15.133,Super Earth,2016,2.48,Earth,1.38,Earth,0.0163,0.0021902807,0.0,Transit,0,[2568.35918367]
Kepler-419 b,3299.0,13.089,Gas Giant,2014,2.5,Jupiter,0.96,Jupiter,0.37,0.191102,0.83,Transit,0,[2568.35918367]
Kepler-1853 b,1834.0,15.229,Super Earth,2021,2.92,Earth,1.519,Earth,0.2395,0.13388091,0.0,Transit,0,[2568.35918367]
Kepler-466 b,1729.0,12.799,Neptune-like,2016,8.5,Earth,0.254,Jupiter,0.2671,0.13990417,0.0,Transit,0,[2568.35918367]
Kepler-338 c,1803.0,12.19,Neptune-like,2014,6.08,Earth,0.209,Jupiter,0.172,0.06652977,0.03,Transit,0,[2568.35918367]
Kepler-1724 b,3460.0,14.961,Neptune-like,2021,8.43,Earth,0.253,Jupiter,0.0683,0.01779603,0.0,Transit,0,[2568.35918367]
Kepler-1161 b,1787.0,16.163,Neptune-like,2016,5.18,Earth,2.13,Earth,0.0784,0.029295003,0.0,Transit,0,[2568.35918367]
Kepler-1441 b,3622.0,14.29,Super Earth,2016,2.27,Earth,1.31,Earth,0.2346,0.107871324,0.0,Transit,0,[2568.35918367]
Kepler-1464 c,3757.0,14.358,Terrestrial,2016,0.972,Earth,1.0,Earth,0.0548,0.01451061,0.0,Transit,0,[2568.35918367]
Kepler-860 b,3446.0,15.544,Neptune-like,2016,10.6,Earth,0.289,Jupiter,0.058,0.013963039,0.0,Transit,0,[2568.35918367]
Kepler-934 b,1986.0,15.238,Super Earth,2016,5.02,Earth,2.09,Earth,0.2658,0.15249829,0.0,Transit,0,[2568.35918367]
Kepler-634 b,2897.0,13.626,Super Earth,2016,4.23,Earth,1.89,Earth,0.0578,0.014236824,0.0,Transit,0,[2568.35918367]
Kepler-1681 b,2474.0,14.646,Neptune-like,2020,7.05,Earth,0.228,Jupiter,0.32,0.19137578,0.0,Transit,0,[2568.35918367]
Kepler-391 c,2835.0,13.177,Neptune-like,2014,12.3,Earth,0.316,Jupiter,0.161,0.056125943,0.0,Transit,0,[2568.35918367]
Kepler-1789 b,1995.0,14.449,Neptune-like,2021,8.4,Earth,0.253,Jupiter,0.3543,0.21957563,0.0,Transit,0,[2568.35918367]
NGTS-16 b,2930.0,14.529,Gas Giant,2021,0.667,Jupiter,1.3,Jupiter,0.0523,0.013141684,0.0,Transit,0,[2568.35918367]
Kepler-1067 b,2178.0,14.395,Terrestrial,2016,0.437,Earth,0.8,Earth,0.0162,0.0021902807,0.0,Transit,0,[2568.35918367]
Kepler-121 c,1665.0,14.904,Neptune-like,2014,5.77,Earth,0.203,Jupiter,0.216,0.112251885,0.0,Transit,0,[2568.35918367]
Kepler-1106 b,3558.0,14.863,Super Earth,2016,3.36,Earth,1.65,Earth,0.0239,0.003559206,0.0,Transit,0,[2568.35918367]
Kepler-1568 b,2989.0,14.138,Super Earth,2016,2.24,Earth,1.3,Earth,0.1499,0.05722108,0.0,Transit,0,[2568.35918367]
Kepler-368 c,2515.0,12.946,Neptune-like,2014,14.3,Earth,0.346,Jupiter,0.36,0.1982204,0.0,Transit,0,[2568.35918367]
Kepler-1335 b,2028.0,15.248,Super Earth,2016,2.7,Earth,1.45,Earth,0.0615,0.017248461,0.0,Transit,0,[2568.35918367]
Kepler-1000 b,3639.0,13.23,Neptune-like,2016,20.3,Earth,0.425,Jupiter,0.5337,0.32854208,0.0,Transit,0,[2568.35918367]
Kepler-1413 b,3808.0,16.473,Super Earth,2016,3.97,Earth,1.82,Earth,0.1066,0.03613963,0.0,Transit,0,[2568.35918367]
Kepler-1394 b,2089.0,11.714,Super Earth,2016,2.51,Earth,1.39,Earth,0.0555,0.010677618,0.0,Transit,0,[2568.35918367]
Kepler-293 c,3179.0,15.452,Neptune-like,2014,14.0,Earth,0.342,Jupiter,0.286,0.14839152,0.0,Transit,0,[2568.35918367]
Kepler-320 c,2696.0,13.494,Super Earth,2014,2.45,Earth,1.37,Earth,0.142,0.049007528,0.0,Transit,0,[2568.35918367]
Kepler-1058 b,1605.0,15.869,Neptune-like,2016,7.85,Earth,0.243,Jupiter,0.3679,0.30390143,0.0,Transit,0,[2568.35918367]
Kepler-1469 b,3782.0,16.2388,Neptune-like,2016,8.25,Earth,0.25,Jupiter,0.1466,0.05995893,0.0,Transit,0,[2568.35918367]
Kepler-465 b,1804.0,12.651,Neptune-like,2016,9.01,Earth,0.263,Jupiter,0.0953,0.027104722,0.0,Transit,0,[2568.35918367]
Kepler-207 c,2856.0,13.164,Super Earth,2014,2.86,Earth,1.5,Earth,0.044,0.008487337,0.0,Transit,0,[2568.35918367]
Kepler-1946 b,3269.0,15.508,Neptune-like,2021,6.75,Earth,0.222,Jupiter,0.0394,0.008213553,0.0,Transit,0,[2568.35918367]
Kepler-229 b,2695.0,16.22,Neptune-like,2014,5.48,Earth,2.2,Earth,0.062,0.017248461,0.0,Transit,0,[2568.35918367]
Kepler-1371 c,1681.0,14.018,Terrestrial,2016,0.196,Earth,0.64,Earth,0.0274,0.0054757018,0.0,Transit,0,[2568.35918367]
Kepler-1447 b,2904.0,14.747,Neptune-like,2016,8.75,Earth,0.259,Jupiter,0.2836,0.15523614,0.0,Transit,0,[2568.35918367]
Kepler-1893 b,3427.0,15.152,Super Earth,2021,3.55,Earth,1.706,Earth,0.0504,0.011498973,0.0,Transit,0,[2568.35918367]
Kepler-1753 b,2308.0,15.59,Neptune-like,2021,5.59,Earth,2.227,Earth,0.1179,0.043805614,0.0,Transit,0,[2568.35918367]
Kepler-895 b,1762.0,16.21,Super Earth,2016,2.99,Earth,1.54,Earth,0.0328,0.007665982,0.0,Transit,0,[2568.35918367]
WTS-2 b,3362.0,15.954,Gas Giant,2014,1.12,Jupiter,1.363,Jupiter,0.01855,0.0027378509,0.0,Transit,0,[2568.35918367]
Kepler-787 b,1643.0,16.696,Super Earth,2016,2.18,Earth,1.28,Earth,0.0159,0.0024640656,0.0,Transit,0,[2568.35918367]
Kepler-1383 b,3351.0,13.832,Super Earth,2016,2.57,Earth,1.41,Earth,0.1179,0.038056124,0.0,Transit,0,[2568.35918367]
Kepler-1578 b,3471.0,15.585,Super Earth,2016,1.12,Earth,1.04,Earth,0.0252,0.0041067763,0.0,Transit,0,[2568.35918367]
Kepler-675 b,2171.0,15.605,Neptune-like,2016,6.53,Earth,0.218,Jupiter,0.0325,0.0062970566,0.0,Transit,0,[2568.35918367]
Kepler-354 d,1807.0,15.771,Super Earth,2014,2.07,Earth,1.24,Earth,0.146,0.066255994,0.0,Transit,0,[2568.35918367]
Kepler-1119 b,5732.0,15.296,Super Earth,2016,4.35,Earth,1.92,Earth,0.0812,0.022724163,0.0,Transit,1,[5102.68080808]
CoRoT-14 b,5691.0,15.932,Gas Giant,2010,7.6,Jupiter,1.09,Jupiter,0.027,0.0041067763,0.0,Transit,1,[5102.68080808]
Kepler-606 b,3964.0,14.895,Neptune-like,2016,11.0,Earth,0.295,Jupiter,0.17,0.06652977,0.0,Transit,1,[5102.68080808]
Kepler-1225 b,4396.0,14.819,Super Earth,2016,3.97,Earth,1.82,Earth,0.0771,0.019164955,0.0,Transit,1,[5102.68080808]
Kepler-929 b,4277.0,14.738,Super Earth,2016,1.41,Earth,1.11,Earth,0.0192,0.0024640656,0.0,Transit,1,[5102.68080808]
Kepler-1192 b,4254.0,15.858,Neptune-like,2016,6.17,Earth,0.211,Jupiter,0.1693,0.068993844,0.0,Transit,1,[5102.68080808]
Kepler-611 b,4552.0,14.734,Super Earth,2016,3.36,Earth,1.65,Earth,0.0351,0.006570842,0.0,Transit,1,[5102.68080808]
Kepler-234 b,5653.0,15.747,Neptune-like,2014,13.2,Earth,0.33,Jupiter,0.04,0.0073921974,0.0,Transit,1,[5102.68080808]
Kepler-789 b,4828.0,14.723,Neptune-like,2016,5.14,Earth,2.12,Earth,0.0951,0.023545519,0.0,Transit,1,[5102.68080808]
Kepler-1210 b,3838.0,15.649,Super Earth,2016,3.53,Earth,1.7,Earth,0.0753,0.022176592,0.0,Transit,1,[5102.68080808]
Kepler-372 b,4873.0,14.928,Super Earth,2014,2.42,Earth,1.36,Earth,0.075,0.018617386,0.0,Transit,1,[5102.68080808]
Kepler-1589 b,4936.0,15.074,Super Earth,2016,1.32,Earth,1.09,Earth,0.0205,0.0027378509,0.0,Transit,1,[5102.68080808]
Kepler-1348 b,3959.0,14.871,Super Earth,2016,4.42,Earth,1.94,Earth,0.1834,0.07556468,0.0,Transit,1,[5102.68080808]
Kepler-254 c,4532.0,16.012,Neptune-like,2014,3.2,Earth,2.15,Earth,0.105,0.03394935,0.0,Transit,1,[5102.68080808]
Kepler-269 c,7363.0,15.646,Super Earth,2014,3.5,Earth,1.69,Earth,0.081,0.022176592,0.0,Transit,1,[5102.68080808]
Kepler-1380 b,8034.0,15.816,Super Earth,2016,2.63,Earth,1.43,Earth,0.0917,0.028199865,0.0,Transit,1,[5102.68080808]
Kepler-1085 c,4451.0,15.273,Neptune-like,2020,10.7,Earth,0.292,Jupiter,0.3002,0.15550992,0.0,Transit,1,[5102.68080808]
Kepler-870 b,4108.0,15.326,Neptune-like,2016,8.15,Earth,0.248,Jupiter,0.1539,0.058590006,0.0,Transit,1,[5102.68080808]
Kepler-1510 b,5533.0,15.315,Neptune-like,2016,11.2,Earth,0.3,Jupiter,0.4089,0.23189595,0.0,Transit,1,[5102.68080808]
Kepler-1368 b,5336.0,15.914,Super Earth,2016,3.36,Earth,1.65,Earth,0.0153,0.0019164955,0.0,Transit,1,[5102.68080808]
CoRoT-17 b,3837.0,16.29,Gas Giant,2011,2.43,Jupiter,1.02,Jupiter,0.0461,0.010403832,0.0,Transit,1,[5102.68080808]
Kepler-863 b,4892.0,15.567,Neptune-like,2016,8.75,Earth,0.259,Jupiter,0.122,0.042710472,0.0,Transit,1,[5102.68080808]
Kepler-996 b,3968.0,14.717,Super Earth,2016,4.58,Earth,1.98,Earth,0.0474,0.010403832,0.0,Transit,1,[5102.68080808]
OGLE-TR-182 b,8161.0,16.9195,Gas Giant,2007,1.01,Jupiter,1.13,Jupiter,0.051,0.0109514035,0.0,Transit,1,[5102.68080808]
