name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,clusters,centroid
Kepler-707 b,1930.0,15.022,Super Earth,2016,2.33,Earth,1.33,Earth,0.0325,0.006023272,0.0,Transit,0,[2568.35918367]
Kepler-586 b,2263.0,14.435,Neptune-like,2016,8.2,Earth,0.249,Jupiter,0.0331,0.0057494864,0.0,Transit,0,[2568.35918367]
Kepler-1885 b,2670.0,14.851,Super Earth,2021,2.89,Earth,1.511,Earth,0.036,0.0068446267,0.0,Transit,0,[2568.35918367]
Kepler-115 b,2034.0,13.545,Super Earth,2014,1.32,Earth,1.09,Earth,0.036,0.006570842,0.0,Transit,0,[2568.35918367]
Kepler-862 b,3389.0,15.601,Neptune-like,2016,5.52,Earth,2.21,Earth,0.039,0.008487337,0.0,Transit,0,[2568.35918367]
Kepler-121 b,1665.0,14.904,Neptune-like,2014,6.08,Earth,0.209,Jupiter,0.039,0.008761123,0.0,Transit,0,[2568.35918367]
Kepler-426 b,2752.0,15.032,Gas Giant,2014,0.34,Jupiter,1.09,Jupiter,0.0414,0.008761123,0.18,Transit,0,[2568.35918367]
Kepler-1271 b,2714.0,14.075,Super Earth,2016,2.79,Earth,1.48,Earth,0.0418,0.008213553,0.0,Transit,0,[2568.35918367]
Kepler-207 c,2856.0,13.164,Super Earth,2014,2.86,Earth,1.5,Earth,0.044,0.008487337,0.0,Transit,0,[2568.35918367]
Kepler-150 b,2907.0,15.161,Super Earth,2014,2.1,Earth,1.25,Earth,0.044,0.009308693,0.0,Transit,0,[2568.35918367]
Kepler-673 b,2995.0,15.592,Neptune-like,2016,34.8,Earth,0.583,Jupiter,0.0455,0.010130048,0.0,Transit,0,[2568.35918367]
Kepler-1065 b,3662.0,15.744,Neptune-like,2016,13.4,Earth,0.333,Jupiter,0.0455,0.009856262,0.0,Transit,0,[2568.35918367]
Kepler-1891 b,1945.0,14.412,Super Earth,2021,2.93,Earth,1.521,Earth,0.0473,0.0109514035,0.0,Transit,0,[2568.35918367]
K2-107 b,2235.0,13.012,Gas Giant,2017,0.84,Jupiter,1.426,Jupiter,0.0475,0.009034907,0.0,Transit,0,[2568.35918367]
Kepler-1235 b,1763.0,14.079,Terrestrial,2016,0.418,Earth,0.79,Earth,0.0491,0.011498973,0.0,Transit,0,[2568.35918367]
Kepler-793 b,3215.0,14.742,Super Earth,2016,2.45,Earth,1.37,Earth,0.0491,0.011498973,0.0,Transit,0,[2568.35918367]
Kepler-1398 c,2780.0,13.752,Super Earth,2016,1.08,Earth,1.03,Earth,0.051,0.011225188,0.0,Transit,0,[2568.35918367]
CoRoT-13 b,3748.0,15.005,Gas Giant,2010,1.308,Jupiter,0.885,Jupiter,0.051,0.0109514035,0.0,Transit,0,[2568.35918367]
Kepler-1328 b,2654.0,13.969,Terrestrial,2016,0.904,Earth,0.98,Earth,0.0529,0.0123203285,0.0,Transit,0,[2568.35918367]
Kepler-1728 b,2126.0,15.279,Neptune-like,2021,9.04,Earth,0.264,Jupiter,0.0535,0.013141684,0.0,Transit,0,[2568.35918367]
Kepler-160 b,3057.0,14.816,Super Earth,2014,3.59,Earth,1.715,Earth,0.05511,0.011772759,0.0,Transit,0,[2568.35918367]
Kepler-663 b,3468.0,15.881,Neptune-like,2016,7.27,Earth,0.232,Jupiter,0.0559,0.0136892535,0.0,Transit,0,[2568.35918367]
Kepler-164 b,2906.0,14.379,Super Earth,2014,2.57,Earth,1.41,Earth,0.058,0.0136892535,0.0,Transit,0,[2568.35918367]
NGTS-9 b,1987.0,12.868,Gas Giant,2019,2.9,Jupiter,1.07,Jupiter,0.058,0.012046544,0.06,Transit,0,[2568.35918367]
K2-66 b,1676.0,11.71,Super Earth,2016,21.3,Earth,0.222,Jupiter,0.05983,0.013963039,0.0,Transit,0,[2568.35918367]
Kepler-301 c,2346.0,14.458,Super Earth,2014,2.39,Earth,1.35,Earth,0.06,0.014784395,0.0,Transit,0,[2568.35918367]
CoRoT-16 b,2389.0,16.052,Gas Giant,2011,0.535,Jupiter,1.17,Jupiter,0.0618,0.014784395,0.33,Transit,0,[2568.35918367]
WASP-184 b,2163.0,12.771,Gas Giant,2019,0.57,Jupiter,1.33,Jupiter,0.0627,0.014236824,0.0,Transit,0,[2568.35918367]
Kepler-1569 b,3084.0,14.123,Super Earth,2016,3.46,Earth,1.68,Earth,0.0654,0.015879534,0.0,Transit,0,[2568.35918367]
Kepler-1831 b,3436.0,15.158,Super Earth,2021,4.54,Earth,1.97,Earth,0.0655,0.015879534,0.0,Transit,0,[2568.35918367]
TOI-2567 b,1647.0,12.3,Gas Giant,2022,0.201,Jupiter,0.975,Jupiter,0.0672,0.016427105,0.0,Transit,0,[2568.35918367]
Kepler-402 c,2040.0,13.27,Super Earth,2014,3.05,Earth,1.56,Earth,0.068,0.01670089,0.0,Transit,0,[2568.35918367]
Kepler-299 c,3432.0,15.232,Neptune-like,2014,7.51,Earth,0.236,Jupiter,0.07,0.01889117,0.0,Transit,0,[2568.35918367]
