name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,clusters,centroid
Kepler-1604 b,1765.0,15.224,Super Earth,2016,2.57,Earth,1.41,Earth,0.0089,0.0019164955,0.0,Transit,0,[2568.35918367]
Kepler-1317 b,2376.0,15.083,Super Earth,2016,3.05,Earth,1.56,Earth,0.0128,0.0016427105,0.0,Transit,0,[2568.35918367]
Kepler-1873 b,2678.0,15.889,Super Earth,2021,3.28,Earth,1.626,Earth,0.0128,0.0016427105,0.0,Transit,0,[2568.35918367]
Kepler-1415 b,3404.0,15.937,Super Earth,2016,2.21,Earth,1.29,Earth,0.0144,0.0016427105,0.0,Transit,0,[2568.35918367]
Kepler-1310 b,1857.0,14.346,Super Earth,2016,2.67,Earth,1.44,Earth,0.0148,0.0019164955,0.0,Transit,0,[2568.35918367]
Kepler-1067 b,2178.0,14.395,Terrestrial,2016,0.437,Earth,0.8,Earth,0.0162,0.0021902807,0.0,Transit,0,[2568.35918367]
Kepler-1320 b,2112.0,15.936,Super Earth,2016,3.53,Earth,1.7,Earth,0.0163,0.0024640656,0.0,Transit,0,[2568.35918367]
Kepler-1167 b,2678.0,16.047,Super Earth,2016,3.57,Earth,1.71,Earth,0.0175,0.0027378509,0.0,Transit,0,[2568.35918367]
Kepler-1559 b,2006.0,14.549,Terrestrial,2016,0.299,Earth,0.72,Earth,0.018,0.0027378509,0.0,Transit,0,[2568.35918367]
Kepler-1200 b,1920.0,16.06,Super Earth,2016,1.2,Earth,1.06,Earth,0.0188,0.003011636,0.0,Transit,0,[2568.35918367]
Kepler-757 b,3486.0,15.066,Super Earth,2016,2.42,Earth,1.36,Earth,0.019,0.0027378509,0.0,Transit,0,[2568.35918367]
Kepler-1206 b,2486.0,15.971,Super Earth,2016,3.33,Earth,1.64,Earth,0.0201,0.003285421,0.0,Transit,0,[2568.35918367]
Kepler-1258 b,2341.0,13.929,Terrestrial,2016,0.566,Earth,0.86,Earth,0.0201,0.0027378509,0.0,Transit,0,[2568.35918367]
Kepler-756 b,2779.0,15.986,Super Earth,2016,1.46,Earth,1.12,Earth,0.0219,0.003285421,0.0,Transit,0,[2568.35918367]
Kepler-1531 b,2174.0,13.202,Super Earth,2016,1.41,Earth,1.11,Earth,0.022,0.003011636,0.0,Transit,0,[2568.35918367]
OGLE-TR-113 b,1848.0,15.8485,Gas Giant,2004,1.26,Jupiter,1.093,Jupiter,0.02289,0.003832991,0.15,Transit,0,[2568.35918367]
Kepler-198 d,1616.0,13.684,Super Earth,2016,2.96,Earth,1.53,Earth,0.0229,0.003559206,0.0,Transit,0,[2568.35918367]
Kepler-1106 b,3558.0,14.863,Super Earth,2016,3.36,Earth,1.65,Earth,0.0239,0.003559206,0.0,Transit,0,[2568.35918367]
Kepler-1565 b,2055.0,15.381,Super Earth,2016,1.81,Earth,1.19,Earth,0.0241,0.0041067763,0.0,Transit,0,[2568.35918367]
Kepler-1763 b,2468.0,13.634,Super Earth,2021,1.59,Earth,1.147,Earth,0.0257,0.0041067763,0.0,Transit,0,[2568.35918367]
Kepler-1082 b,2412.0,13.444,Super Earth,2016,1.46,Earth,1.12,Earth,0.0257,0.0041067763,0.0,Transit,0,[2568.35918367]
Kepler-1072 b,3206.0,13.972,Super Earth,2016,3.12,Earth,1.58,Earth,0.0269,0.0043805614,0.0,Transit,0,[2568.35918367]
Kepler-256 b,3348.0,15.178,Super Earth,2014,3.15,Earth,1.59,Earth,0.027,0.0043805614,0.0,Transit,0,[2568.35918367]
